Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	common|beta	common|z	common|p-value	common|fdr	common|wald-p-value	common|wald-fdr	BG11_Control|beta	BG11_Control|z	BG11_Control|p-value	BG11_Control|fdr	BG11_Control|wald-p-value	BG11_Control|wald-fdr	BG11_Lys|beta	BG11_Lys|z	BG11_Lys|p-value	BG11_Lys|fdr	BG11_Lys|wald-p-value	BG11_Lys|wald-fdr
nc_sll0869	1	0.00016763	0.0065081	0.88882	0.99804	0.99481	0.99686	2.0953e-05	0.0065081	0.88882	0.99804	0.99481	0.99686	0.18834	1.2457	0.20809	0.85064	0.21287	0.45826	-0.18832	-1.2453	0.21043	0.85488	0.21303	0.45529
nc_sll0220	2	-0.062508	-4.0299	0.084603	0.60306	5.5805e-05	0.00083512	-0.0078134	-4.0299	0.084603	0.60306	5.5805e-05	0.00083512	0.070603	0.77735	0.44021	0.97343	0.43695	0.66976	-0.078416	-0.8633	0.41129	0.96419	0.38797	0.62658
nc_ncr0310	2	0.0092777	1.1832	0.59809	0.99779	0.23673	0.43882	0.0011597	1.1832	0.59809	0.99779	0.23673	0.43882	-0.026936	-0.58719	0.79093	0.99194	0.55708	0.75727	0.028096	0.61242	0.77921	0.99154	0.54026	0.7433
nc_slr0143-as	1	0.0087694	0.7636	0.71669	0.99804	0.44511	0.63722	0.0010962	0.7636	0.71669	0.99804	0.44511	0.63722	-0.050283	-0.74817	0.66921	0.99194	0.45436	0.68294	0.051379	0.7644	0.66002	0.99154	0.44463	0.67526
nc_sll0217-as	4	0.038487	2.1284	0.067995	0.5429	0.033301	0.13559	0.0048108	2.1284	0.067995	0.5429	0.033301	0.13559	0.22104	2.0883	0.023056	0.35329	0.036769	0.16464	-0.21623	-2.0427	0.025401	0.36723	0.04108	0.1752
nc_slr0891-as	2	0.006066	0.85713	0.75694	0.99804	0.39137	0.59103	0.00075825	0.85713	0.75694	0.99804	0.39137	0.59103	0.030895	0.74589	0.6993	0.99194	0.45574	0.68461	-0.030137	-0.72751	0.70946	0.99154	0.46692	0.68899
nc_slr2046-as5	1	0.012216	1.5088	0.55744	0.99779	0.13134	0.31192	0.0015269	1.5088	0.55744	0.99779	0.13134	0.31192	0.029038	0.61384	0.72802	0.99194	0.53932	0.7448	-0.027511	-0.58155	0.73877	0.99154	0.56087	0.75679
nc_slr0757-as2	5	-0.0056275	-0.71069	0.712	0.99804	0.47728	0.66252	-0.00070343	-0.71069	0.712	0.99804	0.47728	0.66252	-0.034283	-0.73976	0.63873	0.99097	0.45945	0.68715	0.03358	0.72453	0.64342	0.99154	0.46874	0.68997
nc_sll1064-as	4	0.0035981	0.65667	0.81809	0.99804	0.5114	0.68664	0.00044976	0.65667	0.81809	0.99804	0.5114	0.68664	-0.080592	-2.5105	0.31438	0.93739	0.012056	0.08243	0.081041	2.5243	0.31125	0.93421	0.011592	0.078852
nc_ncl1480	4	-0.0030349	-0.26709	0.81751	0.99804	0.7894	0.87963	-0.00037937	-0.26709	0.81751	0.99804	0.7894	0.87963	-0.033771	-0.50395	0.66393	0.99194	0.61429	0.78966	0.033392	0.49816	0.66667	0.99154	0.61837	0.79236
nc_sll1558	1	-0.12236	-3.6172	0.059594	0.51689	0.00029778	0.00362	-0.015295	-3.6172	0.059594	0.51689	0.00029778	0.00362	0.085811	0.43371	0.44549	0.97343	0.6645	0.82506	-0.10111	-0.51097	0.40113	0.96419	0.60938	0.78671
nc_slr1490-as	3	0.015759	1.6013	0.29289	0.94628	0.1093	0.27817	0.0019699	1.6013	0.29289	0.94628	0.1093	0.27817	-0.11487	-1.992	0.21923	0.86703	0.046373	0.18987	0.11684	2.026	0.21317	0.85904	0.042767	0.17953
nc_sll1041-as	5	0.014073	2.6497	0.28234	0.94593	0.0080567	0.051609	0.0017592	2.6497	0.28234	0.94593	0.0080568	0.051609	-0.037091	-1.1919	0.60981	0.99097	0.23332	0.48111	0.03885	1.2482	0.59183	0.99124	0.21194	0.45442
nc_ncr1340	1	0.0085827	0.59562	0.72372	0.99804	0.55143	0.71834	0.0010728	0.59562	0.72372	0.99804	0.55143	0.71834	0.11724	1.3916	0.34838	0.94939	0.16405	0.3985	-0.11616	-1.3788	0.3558	0.948	0.16797	0.4019
nc_sll1178	1	0.021631	1.3485	0.27257	0.93687	0.17749	0.37002	0.0027039	1.3485	0.27257	0.93687	0.17749	0.37002	0.0064635	0.068893	0.8857	0.99664	0.94507	0.97734	-0.0037596	-0.04007	0.90739	0.99701	0.96804	0.9868
nc_ssl0769-as	2	-0.004846	-0.67529	0.70477	0.99804	0.49949	0.67827	-0.00060575	-0.67529	0.70477	0.99804	0.49949	0.67827	-0.090079	-2.1466	0.33841	0.94939	0.031823	0.15108	0.089474	2.1321	0.34134	0.94754	0.033	0.15326
nc_slr0056-as3	4	0.011194	1.4686	0.40055	0.99418	0.14195	0.32659	0.0013993	1.4686	0.40055	0.99418	0.14195	0.32659	0.018283	0.40901	0.7626	0.99194	0.68253	0.83461	-0.016883	-0.37765	0.78214	0.99154	0.70569	0.84862
nc_slr0479-as2	2	0.0034609	0.37119	0.90094	0.99804	0.7105	0.82851	0.00043262	0.37119	0.90094	0.99804	0.7105	0.82851	-0.08789	-1.6122	0.3519	0.94939	0.10692	0.31661	0.088323	1.62	0.34682	0.948	0.10522	0.31026
nc_slr1277-as	4	0.024305	2.9954	0.13208	0.75055	0.0027405	0.022883	0.0030382	2.9954	0.13208	0.75055	0.0027405	0.022883	-0.013385	-0.28198	0.88218	0.99664	0.77796	0.89051	0.016423	0.34596	0.84857	0.9919	0.72937	0.86091
nc_slr1133	1	0.026706	1.7689	0.18816	0.86044	0.076911	0.22727	0.0033383	1.7689	0.18816	0.86044	0.076911	0.22727	-0.094732	-1.0736	0.41462	0.96864	0.283	0.532	0.09807	1.1114	0.3984	0.9637	0.26639	0.51391
nc_sll0088-as	5	0.0030523	0.53573	0.81653	0.99804	0.59215	0.74941	0.00038154	0.53573	0.81653	0.99804	0.59215	0.74941	0.020838	0.6209	0.7161	0.99194	0.53466	0.74151	-0.020456	-0.60935	0.73193	0.99154	0.54229	0.74469
nc_slr1744	1	0.010951	0.29595	0.61274	0.99779	0.76727	0.86457	0.0013689	0.29595	0.61274	0.99779	0.76727	0.86457	0.38944	1.7873	0.062524	0.57016	0.073885	0.2525	-0.38807	-1.7805	0.063697	0.57801	0.074993	0.2522
nc_sll1888	2	0.030842	2.1325	0.11196	0.6887	0.032968	0.13456	0.0038552	2.1325	0.11196	0.6887	0.032968	0.13456	-0.087896	-1.0396	0.3519	0.94939	0.29851	0.54681	0.091752	1.0852	0.32982	0.94249	0.27784	0.52566
nc_sll0045	5	-0.0030111	-0.38223	0.83763	0.99804	0.70229	0.82269	-0.00037639	-0.38223	0.83763	0.99804	0.70229	0.82269	0.032402	0.6984	0.59535	0.99097	0.48493	0.70588	-0.032778	-0.7063	0.59633	0.99124	0.48	0.69617
nc_sll1665-as	5	-0.011535	-1.3971	0.4957	0.99779	0.16239	0.35292	-0.0014418	-1.3971	0.4957	0.99779	0.16239	0.35292	-0.11509	-2.3787	0.19402	0.83556	0.017373	0.10411	0.11365	2.3488	0.19832	0.83993	0.018836	0.1082
nc_ncl1800	2	0.010664	0.57951	0.53029	0.99779	0.56225	0.7285	0.0013329	0.57951	0.53029	0.99779	0.56225	0.7285	-0.027097	-0.25102	0.78996	0.99194	0.8018	0.90149	0.02843	0.26333	0.77687	0.99154	0.7923	0.8963
nc_slr0359-as2	3	0.01301	1.3428	0.37964	0.98294	0.17934	0.37236	0.0016262	1.3428	0.37964	0.98294	0.17934	0.37236	-0.075443	-1.3304	0.35893	0.94977	0.18339	0.42281	0.077069	1.359	0.35014	0.948	0.17415	0.40917
nc_sll0993-as	4	0.010654	1.4825	0.42888	0.99779	0.13822	0.32125	0.0013317	1.4825	0.42888	0.99779	0.13822	0.32125	0.031945	0.7579	0.62603	0.99097	0.44851	0.6777	-0.030614	-0.72618	0.64517	0.99154	0.46773	0.68966
nc_ncl0380	1	-0.12351	-3.407	0.058812	0.51448	0.00065676	0.006954	-0.015439	-3.407	0.058812	0.51448	0.00065676	0.006954	0.17892	0.84151	0.22235	0.86898	0.40006	0.63785	-0.19436	-0.9139	0.2036	0.84715	0.36077	0.60222
nc_slr0743-as	3	0.025199	1.7774	0.1356	0.75599	0.075499	0.22459	0.0031498	1.7774	0.1356	0.75599	0.075499	0.22459	-0.085041	-1.0256	0.31692	0.93739	0.30507	0.55486	0.088191	1.0636	0.30246	0.93421	0.28753	0.53325
nc_ncr1090	2	0.01677	1.5125	0.30832	0.95384	0.1304	0.31055	0.0020962	1.5125	0.30832	0.95384	0.1304	0.31055	0.15922	2.4528	0.16022	0.78846	0.014174	0.092175	-0.15713	-2.4202	0.16608	0.80519	0.015511	0.096576
nc_sll1206-as	1	0.008419	1.1946	0.73036	0.99804	0.23222	0.43387	0.0010524	1.1946	0.73036	0.99804	0.23222	0.43387	0.010856	0.26366	0.85404	0.99545	0.79204	0.89564	-0.0098035	-0.23809	0.86323	0.99236	0.81181	0.90653
nc_sll0415	4	-0.006693	-0.59947	0.66921	0.99804	0.54886	0.71587	-0.00083663	-0.59946	0.66921	0.99804	0.54886	0.71587	0.0096645	0.14744	0.85815	0.99637	0.88279	0.94898	-0.010501	-0.16018	0.85404	0.9919	0.87274	0.93838
nc_slr0378-as	3	0.011313	1.3734	0.4408	0.99779	0.16964	0.36056	0.0014142	1.3734	0.4408	0.99779	0.16964	0.36056	-0.014332	-0.2969	0.87945	0.99664	0.76654	0.88383	0.015747	0.32616	0.86049	0.9919	0.74431	0.86853
nc_slr0586	2	0.0088224	1.0038	0.61743	0.99779	0.31545	0.51895	0.0011028	1.0038	0.61743	0.99779	0.31545	0.51895	-0.044851	-0.86411	0.6354	0.99097	0.38753	0.62757	0.045954	0.88506	0.62524	0.99154	0.37613	0.616
nc_sll0517	3	0.011246	1.1428	0.44314	0.99779	0.25313	0.45762	0.0014057	1.1428	0.44314	0.99779	0.25313	0.45762	-0.083025	-1.4424	0.32435	0.93998	0.14919	0.37745	0.084431	1.4667	0.3177	0.93421	0.14245	0.3676
nc_slr0273-as	3	0.012105	1.7199	0.4109	0.99779	0.085459	0.24245	0.0015132	1.7199	0.4109	0.99779	0.085459	0.24245	-0.066769	-1.6211	0.41247	0.96864	0.10501	0.31292	0.068282	1.6577	0.39918	0.9637	0.097381	0.29755
nc_slr1064	4	-0.013658	-2.3435	0.44295	0.99779	0.019105	0.094202	-0.0017072	-2.3435	0.44295	0.99779	0.019105	0.094202	-0.01257	-0.36841	0.89136	0.99664	0.71257	0.85266	0.010863	0.31834	0.9066	0.99701	0.75023	0.87325
nc_sll0204-as	1	0.018826	1.5789	0.34525	0.96983	0.11435	0.28508	0.0023533	1.5789	0.34525	0.96983	0.11435	0.28508	0.10201	1.4621	0.39429	0.96649	0.14372	0.37095	-0.099655	-1.4282	0.40524	0.96419	0.15322	0.3833
nc_sll1561	2	0.0074191	1.4231	0.68425	0.99804	0.15471	0.34221	0.00092739	1.4231	0.68425	0.99804	0.15471	0.34221	-0.02645	-0.8679	0.79504	0.99194	0.38545	0.62657	0.027378	0.8983	0.78331	0.99154	0.36903	0.61004
nc_sll0745	3	0.011209	1.551	0.44431	0.99779	0.1209	0.29605	0.0014012	1.551	0.44431	0.99779	0.1209	0.29605	0.010993	0.25966	0.83724	0.99194	0.79512	0.89695	-0.009592	-0.22654	0.85678	0.9919	0.82078	0.91119
nc_sll0163-as	4	0.0076627	1.8717	0.57542	0.99779	0.061251	0.19787	0.00095784	1.8717	0.57542	0.99779	0.061251	0.19787	0.003996	0.16686	0.92243	0.99664	0.86748	0.94143	-0.0030382	-0.12686	0.93787	0.99843	0.89905	0.95464
nc_ncr0030	2	-0.017841	-0.99771	0.39664	0.99029	0.31842	0.52133	-0.0022301	-0.99771	0.39664	0.99029	0.31842	0.52133	-0.063387	-0.59513	0.49844	0.98134	0.55176	0.75428	0.061157	0.57401	0.51075	0.98127	0.56596	0.75974
nc_slr1910	1	-6.6273e-05	-0.0045219	0.8773	0.99804	0.99639	0.99756	-8.2841e-06	-0.0045219	0.8773	0.99804	0.99639	0.99756	0.19489	2.2723	0.20145	0.84163	0.023068	0.12337	-0.1949	-2.2722	0.2032	0.84691	0.023076	0.12237
nc_slr1729-as	5	-0.00039097	-0.065733	0.98652	0.99804	0.94759	0.97365	-4.8871e-05	-0.065733	0.98652	0.99804	0.94759	0.97365	0.0096969	0.2769	0.84525	0.99244	0.78186	0.8908	-0.0097458	-0.27822	0.85033	0.9919	0.78084	0.89048
nc_ssl1378-as	1	-0.0098232	-0.46202	0.54357	0.99779	0.64407	0.78336	-0.0012279	-0.46202	0.54357	0.99779	0.64407	0.78336	-0.075599	-0.60795	0.51075	0.98134	0.54322	0.74822	0.074371	0.59803	0.51954	0.98127	0.54982	0.7504
nc_sll0493	5	0.0098349	1.2938	0.44314	0.99779	0.19574	0.39302	0.0012294	1.2938	0.44314	0.99779	0.19574	0.39302	-0.079888	-1.7934	0.30852	0.93739	0.072909	0.25027	0.081118	1.8208	0.30305	0.93421	0.068636	0.23832
nc_slr0896	2	0.0058673	1.1386	0.76827	0.99804	0.25487	0.45841	0.00073342	1.1386	0.76827	0.99804	0.25487	0.45841	-0.0162	-0.53709	0.88746	0.99664	0.59121	0.77784	0.016933	0.56136	0.87612	0.99578	0.57455	0.76517
nc_slr1237-as	2	0.016051	2.4589	0.32864	0.96066	0.013938	0.075969	0.0020064	2.4589	0.32864	0.96066	0.013938	0.075969	-0.030112	-0.78626	0.76143	0.99194	0.43171	0.66572	0.032118	0.8385	0.74306	0.99154	0.40175	0.63855
nc_ncl0060	1	-0.010452	-0.86255	0.52657	0.99779	0.38839	0.58879	-0.0013065	-0.86255	0.52657	0.99779	0.38839	0.58879	-0.13168	-1.8577	0.28038	0.91343	0.063216	0.22801	0.13037	1.8391	0.28234	0.92058	0.065905	0.23134
nc_sll0765-as	2	-0.011577	-1.6867	0.50801	0.99779	0.09166	0.25238	-0.0014471	-1.6867	0.50801	0.99779	0.09166	0.25238	0.10857	2.6952	0.28839	0.9259	0.0070355	0.057984	-0.11002	-2.7305	0.28624	0.92058	0.0063238	0.053163
nc_slr1178	1	-0.019295	-1.4491	0.37788	0.98294	0.1473	0.33214	-0.0024118	-1.4491	0.37788	0.98294	0.1473	0.33214	-0.092442	-1.1876	0.42224	0.96864	0.23498	0.4824	0.09003	1.1566	0.43845	0.97294	0.24745	0.49384
nc_sll0108-as	2	0.00517	0.42248	0.80774	0.99804	0.67268	0.80288	0.00064625	0.42248	0.80774	0.99804	0.67268	0.80288	-0.075099	-1.0493	0.42224	0.96864	0.29405	0.54295	0.075746	1.0583	0.41598	0.96422	0.28994	0.53589
nc_slr1744-as2	1	0.00058869	0.061711	0.90817	0.99804	0.95079	0.97526	7.3586e-05	0.061711	0.90817	0.99804	0.95079	0.97526	0.13032	2.3368	0.31301	0.93739	0.019448	0.11247	-0.13024	-2.3354	0.31458	0.93421	0.019523	0.11081
nc_ncl0240	1	-0.072246	-3.0873	0.13834	0.75991	0.0020197	0.018008	-0.0090308	-3.0873	0.13834	0.75991	0.0020197	0.018008	0.31816	2.3204	0.092028	0.66059	0.02032	0.11403	-0.32719	-2.3858	0.088511	0.65747	0.017043	0.10241
nc_slr0936	5	-0.010777	-1.5392	0.52013	0.99779	0.12376	0.30019	-0.0013471	-1.5392	0.52013	0.99779	0.12376	0.30019	0.040889	0.9908	0.51739	0.98134	0.32178	0.57164	-0.042236	-1.0231	0.5127	0.98127	0.30624	0.55437
nc_slr1034-as	3	-0.0013479	-0.16606	0.88511	0.99804	0.86811	0.9282	-0.00016849	-0.16606	0.88511	0.99804	0.86811	0.9282	0.055111	1.1577	0.47225	0.97626	0.24701	0.49669	-0.055279	-1.161	0.47733	0.97509	0.24564	0.492
nc_ncr0650	2	-0.065821	-2.3149	0.073075	0.5597	0.020618	0.099175	-0.0082276	-2.3149	0.073075	0.5597	0.020618	0.099175	0.036282	0.21469	0.65416	0.99194	0.83001	0.91848	-0.044509	-0.26326	0.59672	0.99124	0.79235	0.8963
nc_sll0679	3	0.012327	1.0468	0.4027	0.99517	0.29518	0.50025	0.0015409	1.0468	0.4027	0.99517	0.29518	0.50025	-0.095235	-1.3775	0.27648	0.91338	0.16836	0.40435	0.096775	1.3996	0.26807	0.91204	0.16163	0.39242
nc_sll0406-as	2	0.0015705	0.04295	0.99922	0.99922	0.96574	0.98227	0.00019631	0.04295	0.99922	0.99922	0.96574	0.98227	0.040592	0.18749	0.62075	0.99097	0.85128	0.93035	-0.040396	-0.18649	0.62505	0.99154	0.85206	0.92891
nc_ncl1200	3	0.0022391	0.39038	0.93044	0.99804	0.69625	0.81984	0.00027989	0.39038	0.93044	0.99804	0.69625	0.81984	0.028935	0.86154	0.67468	0.99194	0.38894	0.62875	-0.028655	-0.85312	0.6821	0.99154	0.39359	0.63167
nc_sll0273	2	-0.0039987	-0.49582	0.73877	0.99804	0.62002	0.76779	-0.00049983	-0.49582	0.73877	0.99804	0.62002	0.76779	-0.008762	-0.18565	0.95897	0.99664	0.85272	0.93113	0.0082621	0.17504	0.96014	0.99843	0.86105	0.93286
nc_slr1403-as7	2	0.0099487	2.0337	0.5635	0.99779	0.041984	0.15865	0.0012436	2.0337	0.5635	0.99779	0.041984	0.15865	0.024682	0.86249	0.74502	0.99194	0.38842	0.6283	-0.023438	-0.81898	0.75655	0.99154	0.4128	0.64785
nc_sll1498-as	2	-0.011461	-1.5195	0.50977	0.99779	0.12864	0.30751	-0.0014326	-1.5195	0.50977	0.99779	0.12864	0.30751	0.0724	1.6385	0.43318	0.97343	0.10131	0.30699	-0.073833	-1.6707	0.42966	0.97258	0.094774	0.29255
nc_slr1636	2	-0.007043	-0.94841	0.6227	0.99804	0.34292	0.54733	-0.00088038	-0.94841	0.6227	0.99804	0.34292	0.54733	0.022823	0.52467	0.75557	0.99194	0.59981	0.78153	-0.023703	-0.54484	0.75479	0.99154	0.58586	0.77045
nc_slr2023	2	0.0044177	0.28898	0.84818	0.99804	0.77259	0.86809	0.00055221	0.28898	0.84818	0.99804	0.77259	0.86809	0.11761	1.3045	0.26123	0.90829	0.19206	0.43282	-0.11705	-1.2977	0.26475	0.9094	0.19438	0.43325
nc_slr1103-as	2	0.00020596	0.018022	0.93298	0.99804	0.98562	0.99221	2.5745e-05	0.018022	0.93298	0.99804	0.98562	0.99221	-0.053568	-0.79884	0.56878	0.9835	0.42438	0.65966	0.053594	0.79908	0.56624	0.98237	0.42424	0.65738
nc_sll1017	2	0.014892	1.6633	0.36557	0.98169	0.09625	0.26036	0.0018615	1.6633	0.36557	0.98169	0.09625	0.26036	-0.030686	-0.58658	0.75869	0.99194	0.55749	0.75742	0.032547	0.62215	0.73857	0.99154	0.53384	0.73874
nc_slr1789	3	-0.02855	-1.7065	0.2372	0.90667	0.087907	0.24693	-0.0035687	-1.7065	0.2372	0.90667	0.087907	0.24693	-0.045988	-0.46598	0.57034	0.9835	0.64123	0.80893	0.042419	0.42973	0.59555	0.99124	0.66739	0.82465
nc_ncr1150	2	0.0050461	1.0039	0.81419	0.99804	0.31542	0.51895	0.00063076	1.0039	0.81419	0.99804	0.31542	0.51895	-0.016506	-0.56103	0.88374	0.99664	0.57478	0.76807	0.017137	0.58242	0.87476	0.99533	0.56028	0.75657
nc_smr0001	1	0.028591	1.8523	0.16745	0.82821	0.063983	0.20403	0.0035739	1.8523	0.16745	0.82821	0.063983	0.20403	-0.018035	-0.19955	0.91344	0.99664	0.84183	0.92497	0.021609	0.23907	0.88433	0.99692	0.81105	0.90632
nc_slr0459-as	3	0.017553	1.3696	0.2456	0.91485	0.1708	0.36154	0.0021942	1.3696	0.2456	0.91485	0.1708	0.36154	-0.17533	-2.3293	0.12603	0.72452	0.019842	0.11348	0.17752	2.3583	0.12564	0.72738	0.018361	0.10675
nc_ncr0220	1	0.028544	1.5792	0.16784	0.82821	0.1143	0.28508	0.003568	1.5792	0.16784	0.82821	0.1143	0.28508	-0.11793	-1.116	0.32454	0.94001	0.2644	0.5153	0.1215	1.1498	0.31262	0.93421	0.25024	0.49588
nc_sll1950	2	0.0045619	0.81683	0.83783	0.99804	0.41402	0.61066	0.00057023	0.81683	0.83783	0.99804	0.41402	0.61066	-0.029674	-0.90828	0.7669	0.99194	0.36373	0.60837	0.030244	0.92568	0.75967	0.99154	0.35461	0.5985
nc_slr2046-as6	2	-0.011614	-1.3888	0.50703	0.99779	0.1649	0.35476	-0.0014517	-1.3888	0.50703	0.99779	0.1649	0.35476	0.055322	1.1305	0.52208	0.98134	0.25825	0.50933	-0.056773	-1.1601	0.51622	0.98127	0.24601	0.4924
nc_ssr2848-as2	2	0.020947	1.1425	0.21747	0.89326	0.25325	0.45768	0.0026183	1.1425	0.21747	0.89326	0.25325	0.45768	-0.068161	-0.63087	0.46581	0.97626	0.52812	0.73661	0.07078	0.65493	0.44881	0.97294	0.51251	0.72318
nc_slr1857-as	4	-0.019949	-1.7575	0.30813	0.95384	0.078824	0.2304	-0.0024936	-1.7575	0.30813	0.95384	0.078824	0.2304	-0.053664	-0.80288	0.48535	0.9781	0.42204	0.65859	0.05117	0.76544	0.50059	0.98015	0.44401	0.67492
nc_sll1736	4	-0.026271	-3.5492	0.21063	0.89176	0.00038639	0.0044557	-0.0032839	-3.5492	0.21063	0.89176	0.00038639	0.0044557	0.18461	4.2618	0.044744	0.49891	2.028e-05	0.00077459	-0.1879	-4.3372	0.043767	0.49778	1.4431e-05	0.00062065
nc_ncr0440	1	0.019525	1.2175	0.32474	0.96066	0.2234	0.42457	0.0024406	1.2175	0.32474	0.96066	0.2234	0.42457	-0.03521	-0.3758	0.77433	0.99194	0.70707	0.85049	0.037651	0.40183	0.75791	0.99154	0.68781	0.83833
nc_ncr0250	2	0.0036321	0.54571	0.89175	0.99804	0.58526	0.74382	0.00045402	0.54571	0.89175	0.99804	0.58526	0.74382	-0.041898	-1.0763	0.65983	0.99194	0.28177	0.53117	0.042352	1.0879	0.65416	0.99154	0.27662	0.52444
nc_sll1180	7	-0.0033617	-0.8883	0.8052	0.99804	0.37438	0.57783	-0.00042021	-0.8883	0.8052	0.99804	0.37438	0.57783	-0.013581	-0.6125	0.86147	0.99664	0.54021	0.74563	0.01316	0.59349	0.86499	0.99282	0.55285	0.75233
nc_slr0079-as	3	-0.00039685	-0.058391	0.93181	0.99804	0.95344	0.97574	-4.9606e-05	-0.058392	0.93181	0.99804	0.95344	0.97574	0.029431	0.73998	0.66901	0.99194	0.45931	0.68715	-0.029481	-0.74117	0.6737	0.99154	0.45859	0.68424
nc_sll1119-as	4	0.011234	1.642	0.3984	0.99029	0.1006	0.26705	0.0014043	1.642	0.3984	0.99029	0.1006	0.26705	0.0095261	0.23701	0.8603	0.99664	0.81265	0.9097	-0.0081218	-0.20203	0.87886	0.99579	0.8399	0.92304
nc_sll1268	2	-0.0030103	-0.52966	0.78664	0.99804	0.59635	0.7525	-0.00037629	-0.52966	0.78664	0.99804	0.59635	0.7525	0.031323	0.94119	0.69656	0.99194	0.34661	0.59138	-0.031699	-0.95238	0.69695	0.99154	0.3409	0.58568
nc_sll0257-as	1	-0.00033803	-0.02167	0.86538	0.99804	0.98271	0.99115	-4.2254e-05	-0.02167	0.86538	0.99804	0.98271	0.99115	0.19145	2.0942	0.20477	0.84529	0.036242	0.16334	-0.19149	-2.0943	0.20633	0.85024	0.036233	0.16182
nc_sll0080-as	5	0.0070624	1.1392	0.57679	0.99779	0.25463	0.45841	0.0008828	1.1392	0.57679	0.99779	0.25463	0.45841	-0.03992	-1.098	0.57991	0.98736	0.2722	0.52196	0.040803	1.1222	0.56858	0.98349	0.26179	0.50829
nc_slr1944-as	1	0.015752	1.5837	0.43044	0.99779	0.11325	0.28413	0.001969	1.5837	0.43044	0.99779	0.11325	0.28413	-0.053032	-0.91229	0.6481	0.99104	0.36162	0.6068	0.055001	0.94612	0.63716	0.99154	0.34409	0.58839
nc_ncr0900	1	0.0031572	0.21568	0.97225	0.99804	0.82924	0.9028	0.00039465	0.21568	0.97225	0.99804	0.82924	0.9028	0.084547	0.98671	0.449	0.97343	0.32379	0.57383	-0.084152	-0.98198	0.45408	0.97294	0.32611	0.5708
nc_slr0756-as	1	-0.025845	-1.9293	0.31008	0.95384	0.053696	0.18457	-0.0032306	-1.9293	0.31008	0.95384	0.053696	0.18457	0.04214	0.53709	0.65104	0.99108	0.59121	0.77784	-0.045371	-0.57817	0.6354	0.99154	0.56315	0.75807
nc_ncr1500	3	0.00050163	0.055714	0.96776	0.99804	0.95557	0.97734	6.2704e-05	0.055714	0.96776	0.99804	0.95557	0.97734	0.0421	0.7913	0.56409	0.98267	0.42877	0.6638	-0.042037	-0.78978	0.57034	0.98349	0.42966	0.66155
nc_slr0088	5	-0.0027733	-0.42029	0.84955	0.99804	0.67428	0.80404	-0.00034666	-0.42029	0.84955	0.99804	0.67428	0.80404	0.0013676	0.035281	0.9449	0.99664	0.97186	0.9872	-0.0017143	-0.044216	0.94744	0.99843	0.96473	0.98533
nc_slr2057-as	2	0.032792	1.602	0.10082	0.6537	0.10915	0.27793	0.004099	1.602	0.10082	0.6537	0.10915	0.27793	-0.14911	-1.2414	0.16862	0.80396	0.21446	0.45979	0.15321	1.2754	0.16295	0.7979	0.20216	0.44387
nc_slr1028-as5	1	0.020583	1.7752	0.29562	0.94628	0.075869	0.2252	0.0025728	1.7752	0.29562	0.94628	0.075869	0.2252	-0.06185	-0.91312	0.59398	0.99097	0.36118	0.60663	0.064423	0.95109	0.57776	0.98735	0.34156	0.58602
nc_ncl0300	1	0.018627	1.7858	0.34936	0.97121	0.074124	0.22241	0.0023284	1.7858	0.34936	0.97121	0.074124	0.22241	-0.05191	-0.85173	0.65709	0.99194	0.39437	0.63331	0.054239	0.8899	0.64224	0.99154	0.37352	0.61425
nc_slr0521	1	-0.012843	-0.53032	0.47499	0.99779	0.59589	0.75229	-0.0016053	-0.53032	0.47499	0.99779	0.59589	0.75229	-0.27689	-1.952	0.10141	0.6775	0.050942	0.20164	0.27528	1.9404	0.10063	0.68484	0.052336	0.202
nc_sll0401-as	2	-0.0315	-2.0138	0.24951	0.92066	0.044029	0.16365	-0.0039376	-2.0138	0.24951	0.92066	0.044029	0.16365	0.039478	0.42692	0.62857	0.99097	0.66944	0.82838	-0.043416	-0.46934	0.60219	0.99154	0.63883	0.80372
nc_sll1069	2	-0.074533	-4.0611	0.05256	0.47611	4.8839e-05	0.00074615	-0.0093166	-4.0611	0.05256	0.47611	4.8839e-05	0.00074615	0.42139	3.9214	0.0097694	0.19608	8.8031e-05	0.0025311	-0.4307	-4.0076	0.0093787	0.18824	6.1343e-05	0.0018861
nc_slr1636-as	1	0.032264	0.82833	0.1356	0.75599	0.40748	0.60449	0.0040329	0.82833	0.1356	0.75599	0.40748	0.60449	-0.46022	-2.0213	0.051192	0.52823	0.043252	0.18264	0.46425	2.039	0.050606	0.52323	0.041454	0.17637
nc_ncr1020	2	0.013245	0.86534	0.42849	0.99779	0.38685	0.5877	0.0016556	0.86534	0.42849	0.99779	0.38685	0.5877	0.0046437	0.051543	0.90934	0.99664	0.95889	0.98172	-0.0029881	-0.033156	0.9281	0.99843	0.97355	0.98842
nc_sll0601-as	5	0.035878	1.0431	0.069949	0.54824	0.29691	0.50217	0.0044848	1.0431	0.069949	0.54824	0.29691	0.50217	-0.29632	-1.4729	0.072098	0.60492	0.14077	0.36745	0.3008	1.4953	0.073466	0.61238	0.13484	0.35684
